"ChineseDramaName"	"KoreaDramaName"	"TV"	"EP"	"Date"	"Rate"
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	1	2016-08-29	7.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	2	2016-08-29	8.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	3	2016-08-30	7.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	4	2016-09-05	6.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	5	2016-09-06	6.2%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	6	2016-09-12	5.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	7	2016-09-13	5.2%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	8	2016-09-19	5.3%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	9	2016-09-20	6.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	10	2016-09-26	6.4%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	11	2016-09-27	6.5%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	12	2016-10-03	6.8%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	13	2016-10-04	7.3%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	14	2016-10-10	6.5%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	15	2016-10-11	8.7%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	-	2016-10-17	▌▌．轉播棒球
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	16	2016-10-18	5.8%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	17	2016-10-24	9.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	18	2016-10-25	10.7%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	19	2016-10-31	9.0%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	20	2016-11-01	10.8%
浪漫醫生金師傅	낭만닥터 김사부	SBS	1	2016-11-07	9.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	2	2016-11-08	8.7%
浪漫醫生金師傅	낭만닥터 김사부	SBS	3	2016-11-14	12.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	4	2016-11-15	13.1%
浪漫醫生金師傅	낭만닥터 김사부	SBS	5	2016-11-21	15.2%
浪漫醫生金師傅	낭만닥터 김사부	SBS	6	2016-11-22	17.4%
浪漫醫生金師傅	낭만닥터 김사부	SBS	7	2016-11-28	16.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	8	2016-11-29	19.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	9	2016-12-05	18.8%
