"ChineseDramaName"	"KoreaDramaName"	"TV"	"EP"	"Date"	"Rate"	"Weekday"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	1	2016-08-29	7.9	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	2	2016-08-29	8.9	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	3	2016-08-30	7.1	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	4	2016-09-05	6.1	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	5	2016-09-06	6.2	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	6	2016-09-12	5.1	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	7	2016-09-13	5.2	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	8	2016-09-19	5.3	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	9	2016-09-20	6.1	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	10	2016-09-26	6.4	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	11	2016-09-27	6.5	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	12	2016-10-03	6.8	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	13	2016-10-04	7.3	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	14	2016-10-10	6.5	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	15	2016-10-11	8.7	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	NA	2016-10-17	NA	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	16	2016-10-18	5.8	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	17	2016-10-24	9.9	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	18	2016-10-25	10.7	"週二"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	19	2016-10-31	9	"週一"
"月之戀人－步步驚心：麗"	"달의 연인 - 보보경심 려"	"SBS"	20	2016-11-01	10.8	"週二"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	1	2016-11-07	9.5	"週一"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	2	2016-11-08	8.7	"週二"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	3	2016-11-14	12.5	"週一"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	4	2016-11-15	13.1	"週二"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	5	2016-11-21	15.2	"週一"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	6	2016-11-22	17.4	"週二"
"浪漫醫生金師傅"	"낭만닥터 김사부"	"SBS"	7	2016-11-28	16.5	"週一"
